N,P,K,pH,EC,OC,S,Zn,Fe,Cu,Mn,B,OM,Fertility
0.28152492668621704,0.4763513513513514,0.625,0.6249999999999996,0.8922155688622756,0.33593750000000006,0.46246034543531905,1.0,0.011191047162270184,0.6363636363636364,0.2593464052287582,1.0,0.3359375000000001,0.0
0.41055718475073316,0.6385135135135135,0.8128698224852071,0.49107142857142877,0.5449101796407186,0.7890625,0.9559393725766655,0.7591240875912411,0.056754596322941664,0.507177033492823,0.34405228758169937,0.5566037735849058,0.7890625000000002,0.0
0.28152492668621704,0.4222972972972973,0.6708579881656804,0.544642857142857,0.7245508982035929,0.34375000000000006,1.0,0.3211678832116789,0.05915267785771384,0.8708133971291866,0.23686274509803917,1.0,0.34375000000000006,0.0
0.4838709677419355,0.4763513513513514,0.3128698224852071,0.5267857142857137,0.3892215568862276,0.7265625,1.0,0.3503649635036497,0.04796163069544366,0.6411483253588517,0.254640522875817,1.0,0.7265625000000002,0.0
0.7419354838709677,0.49662162162162166,0.7655325443786982,0.42857142857142855,0.43712574850299407,0.6796875,1.0,0.45255474452554756,0.039968025579536375,0.8995215311004785,0.2635294117647059,1.0,0.6796875000000002,0.5
0.7243401759530792,0.3006756756756757,0.2655325443786982,0.6339285714285708,0.5449101796407186,0.484375,0.9841381741275996,0.16058394160583944,0.06794564348521184,0.3971291866028709,0.12287581699346406,1.0,0.4843750000000001,0.5
0.4838709677419355,0.38851351351351354,0.4223372781065089,0.5535714285714282,0.5449101796407186,0.5703125,0.5611561508635884,0.16058394160583944,0.059952038369304565,0.40191387559808617,0.10666666666666667,1.0,0.5703125000000001,0.0
0.28152492668621704,0.46283783783783783,0.8276627218934911,0.49107142857142877,0.6167664670658685,0.65625,0.8431441663729292,0.17518248175182485,0.06474820143884893,0.507177033492823,0.11137254901960786,1.0,0.6562500000000002,0.0
0.28152492668621704,0.4763513513513514,0.4371301775147929,0.6428571428571429,0.5568862275449102,0.7265625,0.9418399718011985,0.2627737226277373,0.06714628297362112,0.5263157894736842,0.10718954248366014,1.0,0.7265625000000002,0.0
0.11730205278592376,0.4493243243243244,0.4992603550295858,0.39285714285714285,0.473053892215569,0.75,0.7303489601691928,0.18978102189781026,0.06554756195043966,0.4545454545454546,0.11712418300653596,1.0,0.7500000000000001,0.5
0.1906158357771261,0.4763513513513514,0.6708579881656804,0.446428571428571,0.377245508982036,0.5078125,0.46246034543531905,0.16058394160583944,0.05915267785771384,0.38277511961722493,0.10718954248366014,0.641509433962264,0.5078125000000001,0.0
0.0,0.38851351351351354,0.3128698224852071,0.5714285714285714,0.36526946107784436,0.7656250000000001,0.9418399718011985,0.16058394160583944,0.051958433253397295,0.4545454545454546,0.0988235294117647,1.0,0.7656250000000001,0.5
0.1348973607038123,0.4020270270270271,0.7344674556213018,0.47321428571428553,0.3892215568862276,0.703125,0.8783926683115968,0.16058394160583944,0.04556354916067148,0.4497607655502393,0.11294117647058824,1.0,0.7031250000000001,1.0
0.0,0.2736486486486487,0.8128698224852071,0.4017857142857141,0.20958083832335336,0.75,0.8572435671483963,0.14598540145985406,0.04396482813749002,0.3971291866028709,0.14483660130718953,1.0,0.7500000000000001,0.0
0.04105571847507331,0.43581081081081086,0.4223372781065089,0.3482142857142859,0.664670658682635,0.5703125,0.7444483609446598,0.2335766423357665,0.05915267785771384,0.3779904306220096,0.13281045751633988,1.0,0.5703125000000001,0.0
0.02346041055718475,0.4763513513513514,0.4681952662721893,0.3839285714285716,0.2694610778443115,0.5703125,0.772647162495594,0.5255474452554746,0.030375699440447646,0.38277511961722493,0.109281045751634,1.0,0.5703125000000001,0.5
0.0,0.4222972972972973,0.4371301775147929,0.4196428571428573,0.43712574850299407,0.640625,0.5752555516390554,0.33576642335766427,0.08633093525179858,0.7751196172248804,0.25516339869281046,1.0,0.6406250000000002,0.0
